,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_btree,f_std_btree,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_btree,mem_std_btree
0,10,1,0.7163235139473634,0.16337709349131807,0.716323513947367,0.16337709349131876,0.7163235139473636,0.16337709349131835,20.0,0.0,20.0,0.0,20.0,0.0
1,10,4,0.9999999999999915,1.888684834956924e-15,0.9999999999999961,1.3777505409863063e-15,0.9609613586713557,0.04532930592447689,440.0,332.65958576298385,96.8,33.047844105175756,260.0,0.0
2,10,7,0.9999999999999908,1.98354323491821e-15,0.9999999999999961,1.3777505409863063e-15,0.9999702349065558,4.0977522367056834e-05,654.8,223.74843016209076,96.8,33.047844105175756,638.0,0.0
3,10,10,0.9999999999999911,1.6512118288306083e-15,0.9999999999999961,1.3777505409863063e-15,0.9999420908868194,0.00011581822634805228,873.6,116.11304836236107,96.8,33.047844105175756,964.0,0.0
4,10,13,0.9999999999999913,1.6263914728069638e-15,0.9999999999999961,1.3777505409863063e-15,0.9998433454952786,0.0003133079282042847,1090.8,82.01073100515566,96.8,33.047844105175756,1204.0,0.0
5,10,16,0.9999999999999911,1.8161565626221095e-15,0.9999999999999961,1.3777505409863063e-15,0.9999999999421512,1.1567650174051493e-10,1329.6,200.80796796940106,96.8,33.047844105175756,1444.0,0.0
6,10,19,0.9999999999999911,1.6384725411432002e-15,0.9999999999999961,1.3777505409863063e-15,0.9999999999999936,2.233728995541514e-15,1406.4,205.34614678634708,96.8,33.047844105175756,1444.0,0.0
7,60,1,0.004033289152274853,0.001878371760438273,0.004033289152275121,0.0018783717604386155,0.0040332891522748045,0.001878371760438297,20.0,0.0,20.0,0.0,20.0,0.0
8,60,4,0.033466554072944674,0.015926968404070894,0.03512525279079492,0.010310375603284789,0.023844794097622808,0.012486107494115058,321.6,42.52810835200644,226.0,12.0,260.0,0.0
9,60,7,0.16391124165915122,0.06351289668092118,0.0819287021567881,0.018881750877795672,0.07355158720575701,0.046295786079107656,684.0,126.82586486990735,544.0,0.0,638.0,0.0
10,60,10,0.33959242984369375,0.14674646878442865,0.1612084104101725,0.05864559468026439,0.14967667747989105,0.04345712019875375,961.6,115.44972931973466,888.0,0.0,964.0,0.0
11,60,13,0.4926974410241229,0.16148987826071576,0.27420201676692707,0.09157576630038781,0.2834555372749253,0.06953319830808923,1153.6,20.645580640902303,1260.0,0.0,1204.0,0.0
12,60,16,0.7386007254914652,0.1560268351597742,0.4633012316403611,0.10577428015537475,0.4883321757669563,0.09601634319141719,1345.6,77.17408891590493,1704.0,0.0,1444.0,0.0
13,60,19,0.8058993837600108,0.1154377186310797,0.5932536340255856,0.10013013022911924,0.6197143972511663,0.08780377900816745,1393.6,137.3253072088317,1896.0,0.0,1492.0,96.0
14,110,1,0.00020328383274791057,9.069276998943679e-05,0.00020328383274792038,9.069276998944207e-05,0.00020328383274791453,9.069276998944007e-05,20.0,0.0,20.0,0.0,20.0,0.0
15,110,4,0.001456668259401462,0.0016335424236634535,0.0006185839949724044,0.00045805459566448405,0.0007904582707548643,0.0008056977099579111,307.2,44.71420355994278,222.4,11.757550765359253,260.0,0.0
16,110,7,0.003278985438428956,0.0032050096567031493,0.0021200614936753353,0.0009255598573438459,0.0026261194799349218,0.0030463822684915496,603.6,45.96346375111432,544.0,0.0,638.0,0.0
17,110,10,0.010055291093984996,0.00411982914386858,0.005474001643983667,0.0035960323958485834,0.009212418452171233,0.007575767350377606,876.8,91.08765009593782,888.0,0.0,964.0,0.0
18,110,13,0.041194750749664825,0.012884437486942481,0.02129124225119182,0.012878670731975489,0.031193993789591153,0.028083317374835944,1107.2,109.1171847144161,1260.0,0.0,1204.0,0.0
